Pinmux settings per pin
Format: pin (name): mux_owner gpio_owner hog?
pin 148 (SHARKL5PRO_RFFE0_SCK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 149 (SHARKL5PRO_RFFE0_SDA): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 150 (SHARKL5PRO_RFFE1_SCK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 151 (SHARKL5PRO_RFFE1_SDA): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 152 (SHARKL5PRO_U1TXD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 153 (SHARKL5PRO_U1RXD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 154 (SHARKL5PRO_SCL6): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 155 (SHARKL5PRO_SDA6): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 156 (SHARKL5PRO_MTCK_ARM): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 157 (SHARKL5PRO_MTMS_ARM): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 158 (SHARKL5PRO_PWMC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 159 (SHARKL5PRO_KEYOUT0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 160 (SHARKL5PRO_KEYOUT1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 161 (SHARKL5PRO_KEYOUT2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 162 (SHARKL5PRO_KEYIN0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 163 (SHARKL5PRO_KEYIN1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 164 (SHARKL5PRO_KEYIN2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 165 (SHARKL5PRO_SCL0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 166 (SHARKL5PRO_SDA0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 167 (SHARKL5PRO_SDA1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 168 (SHARKL5PRO_SCL1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 169 (SHARKL5PRO_CMMCLK0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 170 (SHARKL5PRO_CMMCLK1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 171 (SHARKL5PRO_CMRST0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 172 (SHARKL5PRO_CMRST1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 173 (SHARKL5PRO_CMPD0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 174 (SHARKL5PRO_CMPD1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 175 (SHARKL5PRO_CMMCLK2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 176 (SHARKL5PRO_CMPD2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 177 (SHARKL5PRO_CMRST2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 178 (SHARKL5PRO_GPIO84): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 179 (SHARKL5PRO_GPIO85): (MUX UNCLAIMED) (GPIO UNCLAIMED)
